label,f1_macro,accuracy,elapsed_sec,best_params
tfidf_logreg,0.9399991138345734,0.9499498909391028,48.484,"{""C"": 2.0, ""class_weight"": null}"
w2v_logreg,0.925790593149296,0.9376879089783646,53.281,
bow_nb,0.9166605745315738,0.9292577963803572,43.529,"{""alpha"": 0.5}"
tfidf_svd_svc,0.9125945419047583,0.9263691563992218,53.26,"{""C"": 2.0, ""class_weight"": null}"
